time,theta,omega,energy
1.270000000000000018e+00,-3.874436355027222612e-01,1.146143273160368681e+00,-8.426040358967485489e+00
1.280000000000000027e+00,-3.757968807020658497e-01,1.183207686970914052e+00,-8.425423358940260954e+00
1.290000000000000036e+00,-3.637847835064215163e-01,1.219211752157944861e+00,-8.424763971659718464e+00
1.300000000000000044e+00,-3.514181392822976480e-01,1.254117092666828803e+00,-8.424061831191114180e+00
1.310000000000000053e+00,-3.387081237252782540e-01,1.287886018737048666e+00,-8.423316735528471710e+00
1.320000000000000062e+00,-3.256662856464755951e-01,1.320481597023477782e+00,-8.422528652782622416e+00
1.330000000000000071e+00,-3.123045390468850435e-01,1.351867722894632085e+00,-8.421697726655231975e+00
1.340000000000000080e+00,-2.986351544596595464e-01,1.382009194550468223e+00,-8.420824281094969166e+00
1.350000000000000089e+00,-2.846707495440472524e-01,1.410871788571979701e+00,-8.419908824035655215e+00
1.360000000000000098e+00,-2.704242789187518148e-01,1.438422336487107378e+00,-8.418952050121600195e+00
1.370000000000000107e+00,-2.559090232267525744e-01,1.464628801912744693e+00,-8.417954842332575183e+00
1.380000000000000115e+00,-2.411385774281325500e-01,1.489460357811260183e+00,-8.416918272429803949e+00
1.390000000000000124e+00,-2.261268383221644585e-01,1.512887463382359687e+00,-8.415843600155074711e+00
1.400000000000000133e+00,-2.108879913047645993e-01,1.534881940097611031e+00,-8.414732271127217444e+00
1.409999999999999920e+00,-1.954364963723972948e-01,1.555417046375850987e+00,-8.413585913394076243e+00
1.419999999999999929e+00,-1.797870733885517380e-01,1.574467550393262583e+00,-8.412406332612913928e+00
1.429999999999999938e+00,-1.639546866339736675e-01,1.592009800522349305e+00,-8.411195505848393594e+00
1.439999999999999947e+00,-1.479545286668644544e-01,1.608021792899496649e+00,-8.409955573994087885e+00
1.449999999999999956e+00,-1.318020035242099541e-01,1.622483235631401399e+00,-8.408688832840919503e+00
1.459999999999999964e+00,-1.155127093002210892e-01,1.635375609166372923e+00,-8.407397722833694687e+00
1.469999999999999973e+00,-9.910242014250254805e-02,1.646682222377335858e+00,-8.406084817574422274e+00
1.479999999999999982e+00,-8.258706771097004684e-02,1.656388263929161830e+00,-8.404752811148524572e+00
1.489999999999999991e+00,-6.598272214865652519e-02,1.664480848533541613e+00,-8.403404504366568162e+00
1.500000000000000000e+00,-4.930557261734026114e-02,1.670949057729711917e+00,-8.402042790029677022e+00
1.510000000000000009e+00,-3.257190745434850737e-02,1.675783974868638948e+00,-8.400670637341146829e+00
1.520000000000000018e+00,-1.579809400989865692e-02,1.678978714021330587e+00,-8.399291075599325751e+00
1.530000000000000027e+00,9.994417730997001443e-04,1.680528442578340664e+00,-8.397907177317694760e+00
1.540000000000000036e+00,1.780423597277501491e-02,1.680430397356722283e+00,-8.396522040926724273e+00
1.550000000000000044e+00,3.459980742996923708e-02,1.678683894082122707e+00,-8.395138773218572936e+00
1.560000000000000053e+00,5.136967855121375714e-02,1.675290330166782304e+00,-8.393760471699675207e+00
1.570000000000000062e+00,6.809739610583906422e-02,1.670253180758278333e+00,-8.392390207017829340e+00
1.580000000000000071e+00,8.476655195007191945e-02,1.663577988088293269e+00,-8.391031005629416839e+00
