time,x_numeric,x_analytic,velocity
4.199999999999999845e-01,2.604456671337614798e-02,2.604456566156284833e-02,-2.944378243983357124e-01
4.299999999999999933e-01,2.309060860369209489e-02,2.309060752354978943e-02,-2.963039470415747001e-01
4.400000000000000022e-01,2.011948689527456521e-02,2.011948578776117866e-02,-2.978703580002807771e-01
4.500000000000000111e-01,1.713420378619504719e-02,1.713420265234429779e-02,-2.991360913836121904e-01
4.600000000000000200e-01,1.413776962219904718e-02,1.413776846311928792e-02,-3.001004835826408534e-01
4.700000000000000289e-01,1.113319987334028885e-02,1.113319869021315092e-02,-3.007631733292833176e-01
4.799999999999999822e-01,8.123512111536812172e-03,8.123510905615898697e-03,-3.011241014531002569e-01
4.899999999999999911e-01,5.111722992066351778e-03,5.111721764675654887e-03,-3.011835103368113997e-01
5.000000000000000000e-01,2.100845242008328364e-03,2.100843994540583376e-03,-3.009419430716716581e-01
5.100000000000000089e-01,-9.061153413731171460e-04,-9.061166074581307765e-04,-3.004002423141516886e-01
5.200000000000000178e-01,-3.906162879326534679e-03,-3.906164162503866864e-03,-2.995595488456621602e-01
5.300000000000000266e-01,-6.896314384431388375e-03,-6.896315683112949971e-03,-2.984212998373532155e-01
5.400000000000000355e-01,-9.873602714599204883e-03,-9.873604027135794714e-03,-2.969872268223121559e-01
5.500000000000000444e-01,-1.283507950534444955e-02,-1.283508083002793225e-02,-2.952593533777694290e-01
5.600000000000000533e-01,-1.577781807743944623e-02,-1.577781941250511535e-02,-2.932399925202074931e-01
5.700000000000000622e-01,-1.869891631709801397e-02,-1.869891766072688533e-02,-2.909317438165484049e-01
5.799999999999999600e-01,-2.159549952586564681e-02,-2.159550087618699460e-02,-2.883374902148730934e-01
5.899999999999999689e-01,-2.446472323742997224e-02,-2.446472459252396758e-02,-2.854603945983983926e-01
5.999999999999999778e-01,-2.730377599860377494e-02,-2.730377735650403939e-02,-2.823038960667072494e-01
6.099999999999999867e-01,-3.010988211177425752e-02,-3.010988347047063168e-02,-2.788717059484916438e-01
6.199999999999999956e-01,-3.288030433615601184e-02,-3.288030569359746969e-02,-2.751678035503276054e-01
6.300000000000000044e-01,-3.561234654523166843e-02,-3.561234789932914840e-02,-2.711964316462564528e-01
6.400000000000000133e-01,-3.830335633781324634e-02,-3.830335768644264893e-02,-2.669620917131958482e-01
6.500000000000000222e-01,-4.095072760020860431e-02,-4.095072894121384866e-02,-2.624695389174472315e-01
6.600000000000000311e-01,-4.355190301703125433e-02,-4.355190434822748397e-02,-2.577237768578058974e-01
6.700000000000000400e-01,-4.610437652824816296e-02,-4.610437784742474343e-02,-2.527300520710106246e-01
6.800000000000000488e-01,-4.860569573011845612e-02,-4.860569703504238198e-02,-2.474938483054964222e-01
6.900000000000000577e-01,-5.105346421773683530e-02,-5.105346550615597057e-02,-2.420208805696336674e-01
7.000000000000000666e-01,-5.344534386695842798e-02,-5.344534513660479519e-02,-2.363170889608490199e-01
7.099999999999999645e-01,-5.577905705354663929e-02,-5.577905830213982646e-02,-2.303886322822305266e-01
7.199999999999999734e-01,-5.805238880745273999e-02,-5.805239003270343257e-02,-2.242418814534179461e-01
7.299999999999999822e-01,-6.026318890020485042e-02,-6.026319009981809943e-02,-2.178834127227709805e-01
7.399999999999999911e-01,-6.240937386345482563e-02,-6.240937503513367679e-02,-2.113200006879934201e-01
7.500000000000000000e-01,-6.448892893680424621e-02,-6.448893007825323709e-02,-2.045586111325672640e-01
7.600000000000000089e-01,-6.649990994310506220e-02,-6.649991105203363617e-02,-1.976063936855209924e-01
7.700000000000000178e-01,-6.844044508950655747e-02,-6.844044616363274824e-02,-1.904706743122171198e-01
7.800000000000000266e-01,-7.030873669259787850e-02,-7.030873772965186286e-02,-1.831589476439976216e-01
7.900000000000000355e-01,-7.210306282607455153e-02,-7.210306382380204937e-02,-1.756788691546714576e-01
8.000000000000000444e-01,-7.382177888943779187e-02,-7.382177984560379935e-02,-1.680382471919650567e-01
8.100000000000000533e-01,-7.546331909631753820e-02,-7.546332000870988044e-02,-1.602450348721856654e-01
8.200000000000000622e-01,-7.702619788109298093e-02,-7.702619874752573981e-02,-1.523073218464672529e-01
8.300000000000000711e-01,-7.850901122256873088e-02,-7.850901204088589491e-02,-1.442333259470804097e-01
8.399999999999999689e-01,-7.991043788355017830e-02,-7.991043865162911208e-02,-1.360313847223906525e-01
8.499999999999999778e-01,-8.122924056524778724e-02,-8.122924128100270091e-02,-1.277099468691433592e-01
8.599999999999999867e-01,-8.246426697552731999e-02,-8.246426763691278028e-02,-1.192775635708389348e-01
8.699999999999999956e-01,-8.361445081011112390e-02,-8.361445141512549584e-02,-1.107428797510381369e-01
8.800000000000000044e-01,-8.467881264592418133e-02,-8.467881319261293116e-02,-1.021146252505047286e-01
8.900000000000000133e-01,-8.565646074586810710e-02,-8.565646123232718845e-02,-9.340160593715096660e-02
9.000000000000000222e-01,-8.654659177439616435e-02,-8.654659219877537668e-02,-8.461269475780051896e-02
9.100000000000000311e-01,-8.734849142335270045e-02,-8.734849178385882540e-02,-7.575682274082375101e-02
9.200000000000000400e-01,-8.806153494763115097e-02,-8.806153524253124143e-02,-6.684296995873106884e-02
9.300000000000000488e-01,-8.868518761029575703e-02,-8.868518783792020410e-02,-5.788015645983191071e-02
9.400000000000000577e-01,-8.921900503690309570e-02,-8.921900519564866794e-02,-4.887743317807987514e-02
9.500000000000000666e-01,-8.966263347885110313e-02,-8.966263356718398581e-02,-3.984387283022769455e-02
9.599999999999999645e-01,-9.001580998567418335e-02,-9.001581000213286499e-02,-3.078856080941055548e-02
