time_days,remaining_mass_kg,converted_mass_kg,conversion_efficiency_%,rate_constant
48.42805768731695,152346295.25263423,9847653704.747366,98.48100807832336,1e-06
48.543914284655024,150828914.480672,9849171085.519327,98.49618257496404,1e-06
48.659770881993104,149326646.93744475,9850673353.062555,98.51120593245571,1e-06
48.775627479331185,147839342.09403697,9852160657.905964,98.5260796561558,1e-06
48.89148407666926,146366850.92081183,9853633149.079187,98.54080523642834,1e-06
49.007340674007345,144909025.87247938,9855090974.127522,98.55538414879328,1e-06
49.12319727134542,143465720.8733125,9856534279.126688,98.56981785407415,1e-06
49.2390538686835,142036791.30250865,9857963208.69749,98.58410779854465,1e-06
49.35491046602158,140622093.9797005,9859377906.0203,98.59825541407349,1e-06
49.47076706335965,139221487.15060738,9860778512.849392,98.61226211826781,1e-06
49.58662366069773,137834830.4728323,9862165169.527168,98.62612931461531,1e-06
49.70248025803581,136461985.00179985,9863538014.9982,98.6398583926248,1e-06
49.81833685537389,135102813.17683232,9864897186.823168,98.65345072796555,1e-06
49.934193452711966,133757178.80736783,9866242821.192633,98.666907682605,1e-06
50.050050050050054,132424947.05931197,9867575052.940687,98.68023060494528,1e-06
50.16590664738813,131105984.44152911,9868894015.558472,98.69342082995841,1e-06
50.28176324472621,129800158.79246518,9870199841.207535,98.7064796793199,1e-06
50.39761984206429,128507339.26690498,9871492660.733095,98.7194084615413,1e-06
50.51347643940236,127227396.32286245,9872772603.677137,98.7322084721013,1e-06
50.62933303674045,125960201.70859876,9874039798.2914,98.74488099357552,1e-06
50.74518963407852,124705628.449773,9875294371.550226,98.75742729576501,1e-06
50.861046231416594,123463550.83671807,9876536449.163282,98.76984863582354,1e-06
50.97690282875468,122233844.4118445,9877766155.588156,98.78214625838348,1e-06
51.092759426092755,121016385.95717068,9878983614.04283,98.79432139568058,1e-06
51.20861602343084,119811053.48197463,9880188946.518024,98.80637526767748,1e-06
51.324472620768915,118617726.21057215,9881382273.789429,98.81830908218586,1e-06
51.44032921810699,117436284.5702137,9882563715.429787,98.83012403498746,1e-06
51.556185815445076,116266610.17910326,9883733389.820896,98.84182130995403,1e-06
51.67204241278315,115108585.8345372,9884891414.165462,98.8534020791658,1e-06
51.78789901012124,113962095.50115901,9886037904.49884,98.86486750302902,1e-06
51.90375560745931,112827024.29933411,9887172975.700666,98.87621873039221,1e-06
52.01961220479738,111703258.49363703,9888296741.506363,98.88745689866121,1e-06
52.13546880213547,110590685.48145628,9889409314.518543,98.89858313391332,1e-06
52.251325399473544,109489193.78171122,9890510806.218288,98.90959855100994,1e-06
52.36718199681163,108398673.02368072,9891601326.976318,98.92050425370836,1e-06
52.483038594149704,107319013.93594514,9892680986.064054,98.93130133477244,1e-06
52.59889519148778,106250108.33543596,9893749891.664564,98.94199087608197,1e-06
52.714751788825865,105191849.1165966,9894808150.883404,98.95257394874113,1e-06
52.83060838616394,104144130.24065027,9895855869.75935,98.96305161318581,1e-06
52.946464983502025,103106846.72497392,9896893153.275026,98.97342491928995,1e-06
53.0623215808401,102079894.63258015,9897920105.36742,98.98369490647059,1e-06
53.17817817817817,101063171.0617013,9898936828.9383,98.99386260379211,1e-06
53.29403477551626,100056574.1354795,9899943425.864521,99.00392903006939,1e-06
53.40989137285433,99060002.99175839,9900939997.008242,99.01389519396973,1e-06
53.52574797019242,98073357.77297586,9901926642.227024,99.02376209411413,1e-06
53.64160456753049,97096539.61615945,9902903460.38384,99.0335307191772,1e-06
53.757461164868566,96129450.64301886,9903870549.356981,99.04320204798624,1e-06
53.87331776220665,95171993.95013933,9904828006.04986,99.05277704961944,1e-06
53.98917435954473,94224073.59927179,9905775926.400728,99.06225668350282,1e-06
54.105030956882814,93285594.60771888,9906714405.39228,99.07164189950649,1e-06
54.22088755422089,92356462.93881886,9907643537.061182,99.08093363803978,1e-06
54.33674415155897,91436585.49252167,9908563414.507479,99.09013283014542,1e-06
54.45260074889705,90525870.09606147,9909474129.903938,99.09924039759295,1e-06
54.56845734623512,89624225.49471997,9910375774.50528,99.10825725297096,1e-06
54.6843139435732,88731561.34268264,9911268438.657318,99.11718429977864,1e-06
54.80017054091128,87847788.19398677,9912152211.806013,99.12602243251621,1e-06
54.91602713824936,86972817.49355757,9913027182.506443,99.13477253677462,1e-06
55.03188373558744,86106561.56833622,9913893438.431664,99.14343548932426,1e-06
55.147740332925515,85248933.618494,9914751066.381506,99.15201215820285,1e-06
55.263596930263596,84399847.7087349,9915600152.291265,99.16050340280235,1e-06
