t,A_analytical,B_analytical
143.0,93903.97807243595,16121.420556754625
144.0,98549.2064720055,16918.33287737574
145.0,103424.23027358893,17754.672539539578
146.0,108540.41720672057,18632.389931646916
147.0,113909.69735059986,19553.53192609397
148.0,119544.59095293602,20520.246652231244
149.0,125458.23762496239,21534.788505435653
150.0,131664.42698069709,22599.52340397623
151.0,138177.63079189586,23716.934305931446
152.0,145013.03673367634,24889.6269990226
153.0,152186.58379950265,26120.336176864237
154.0,159714.999468113,27411.931815800364
155.0,167615.83870905447,28767.42586719586
156.0,175907.52491778148,30189.97928078869
157.0,184609.3928757708,31682.909375479945
158.0,193741.7338358274,33249.69757474907
159.0,203325.8428377132,34893.99752473205
160.0,213384.06836443017,36619.64361389219
161.0,223939.86445494768,38430.65991415034
162.0,235017.84539489164,40331.26956432334
163.0,246643.84311272327,42325.904617751028
164.0,258844.96741524802,44419.21637707544
165.0,271649.6692029108,46616.08624027041
166.0,285087.8068122854,48921.637083212877
167.0,299190.71564045679,51341.24520533804
168.0,313991.28121364899,53880.55286623364
169.0,329524.01587048059,56545.48144240619
170.0,345825.13923865949,59342.245234898608
171.0,362932.66269277557,62277.36595995624
172.0,380886.4779901324,65357.68795653106
173.0,399728.45029129859,68590.39414608469
174.0,419502.5157822877,71983.02278190638
175.0,440254.7841260069,75543.48502700211
176.0,462033.64598186899,79280.08340154345
177.0,484889.88584428557,83201.53114289188
178.0,508876.8004631638,87316.97252334365
179.0,534050.3231225394,91636.00417297169
180.0,560469.1540671426,96168.69745728662
181.0,588194.8973810291,100925.62196189635
182.0,617292.2046374516,105917.87013892761
183.0,647828.9256549439,111157.08317268013
184.0,679876.2667111416,116655.47812482681
185.0,713508.9565832809,122425.87642245896
186.0,748805.4208025434,128481.73375540514
187.0,785847.964528579,134837.17145253856
188.0,824722.964470641,141507.00941023779
189.0,865521.0703028544,148506.800649783
190.0,908337.416043291,155852.8675842717
191.0,953271.8418897364,163562.34007961863
192.0,1000429.1270294462,171653.19539839484
193.0,1049919.2339657536,180144.3001196457
194.0,1101857.5649312544,189055.4541324387
195.0,1156365.2309854832,198407.43680572453
196.0,1213569.3344245717,208222.05544217418
197.0,1273603.2651614133,218522.19612897584
198.0,1336607.0117674368,229331.87710416583
199.0,1402727.4879012984,240676.30476293775
200.0,1472118.8748856513,252581.9324345236
