t,linear_v,exp_v,logistic_v,linear_n,exp_n,logistic_n
99.0,0.000000000000000000000000000000000000000000000000000000000000018758737259324265,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030013563859470187,0.00000092251247642994,286.12,858.879934685299,63.57648335235129
102.0,0.0000000000000000000000000000000000000000000000000000000000000000030859950644759764,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002431309989831342,0.00000011951904783224485,294.76000000000005,859.7324109673945,72.86120977074891
105.0,0.0000000000000000000000000000000000000000000000000000000000000000000003918007976710597,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001925749311734177,0.000000011508319965524638,303.4,860.4661441031074,83.3819376728306
108.0,0.00000000000000000000000000000000000000000000000000000000000000000000000003839018079539913,0.0,0.0000000007921468945292907,312.03999999999996,861.0976740655826,95.25965351300957
111.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000029031312899520293,0.0,0.00000000003735555771087515,320.68,861.6412369416366,108.61410147392776
114.0,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000016943864834891688,0.0,0.000000000001152574608365485,329.32,862.1090858447449,123.55932007402144
117.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000007632483872505806,0.0,0.000000000000022148129532356763,337.96000000000004,862.5117671274118,140.19813243416962
120.0,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026536035457912524,0.0,0.0000000000000002516043798662494,346.6,862.8583581193602,158.6156525686919
123.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007120866619698058,0.0,0.000000000000000001600363727221627,355.23999999999995,863.1566717506875,178.8720012360185
126.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001474915570666173,0.0,0.0000000000000000000053909950406309614,363.88,863.413432672647,200.99458705684873
129.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023580376703423213,0.0,0.00000000000000000000000909497664274036,372.52,863.6344288462119,224.97048710661895
