x,y,u,v,p,psi
1.694915254237288,0.13636363636363635,0.0,0.0,0.0,0.0
1.728813559322034,0.13636363636363635,0.0,0.0,0.0,0.0
1.7627118644067796,0.13636363636363635,0.0,0.0,0.0,0.0
1.7966101694915255,0.13636363636363635,0.0,0.0,0.0,0.0
1.8305084745762712,0.13636363636363635,0.0,0.0,0.0,0.0
1.8644067796610169,0.13636363636363635,0.0,0.0,0.0,0.0
1.8983050847457628,0.13636363636363635,0.0,0.0,0.0,0.0
1.9322033898305084,0.13636363636363635,0.0,0.0,0.0,0.0
1.9661016949152543,0.13636363636363635,0.0,0.0,0.0,0.0
2.0,0.13636363636363635,0.0,0.0,0.0,0.0
0.0,0.17045454545454544,0.0,0.0,0.0,0.0
0.03389830508474576,0.17045454545454544,0.0,0.0,0.0,0.0
0.06779661016949153,0.17045454545454544,0.0,0.0,0.0,0.0
0.1016949152542373,0.17045454545454544,0.0,0.0,0.0,0.0
0.13559322033898305,0.17045454545454544,0.0,0.0,0.0,0.0
0.1694915254237288,0.17045454545454544,0.0,0.0,0.0,0.0
0.2033898305084746,0.17045454545454544,0.0,0.0,0.0,0.0
0.23728813559322035,0.17045454545454544,0.0,0.0,0.0,0.0
0.2711864406779661,0.17045454545454544,0.0,0.0,0.0,0.0
0.3050847457627119,0.17045454545454544,0.0,0.0,0.0,0.0
0.3389830508474576,0.17045454545454544,0.0,0.0,0.0,0.0
0.3728813559322034,0.17045454545454544,0.0,0.0,0.0,0.0
0.4067796610169492,0.17045454545454544,0.0,0.0,0.0,0.0
0.4406779661016949,0.17045454545454544,0.0,0.0,0.0,0.0
0.4745762711864407,0.17045454545454544,0.0,0.0,0.0,0.0
0.5084745762711864,0.17045454545454544,0.0,0.0,0.0,0.0
0.5423728813559322,0.17045454545454544,0.0,0.0,0.0,0.0
0.576271186440678,0.17045454545454544,0.0,0.0,0.0,0.0
0.6101694915254238,0.17045454545454544,0.0,0.0,0.0,0.0
0.6440677966101694,0.17045454545454544,0.0,0.0,0.0,0.0
0.6779661016949152,0.17045454545454544,0.0,0.0,0.0,0.0
