Day,Algae_kg,Plants_kg,O2_kg
102.0,10.0,5.9999999216979,97.57279992169788
103.0,10.0,5.999999933443215,97.5391999334432
104.0,10.0,5.999999943426733,97.50559994342672
105.0,10.0,5.999999951912723,97.47199995191271
106.0,10.0,5.999999959125814,97.4383999591258
107.0,10.0,5.999999965256942,97.40479996525693
108.0,10.0,5.999999970468401,97.37119997046838
109.0,10.0,5.999999974898141,97.33759997489813
110.0,10.0,5.9999999786634195,97.3039999786634
111.0,10.0,5.9999999818639065,97.27039998186389
112.0,10.0,5.999999984584321,97.23679998458431
113.0,10.0,5.999999986896673,97.20319998689666
114.0,10.0,5.999999988862172,97.16959998886216
115.0,10.0,5.999999990532846,97.13599999053284
116.0,10.0,5.999999991952919,97.10239999195291
117.0,10.0,5.999999993159981,97.06879999315997
118.0,10.0,5.999999994185984,97.03519999418597
119.0,10.0,5.9999999950580865,97.00159999505807
120.0,10.0,5.9999999957993735,96.96799999579936
121.0,10.0,5.999999996429468,96.93439999642945
122.0,10.0,5.999999996965047,96.90079999696503
123.0,10.0,5.99999999742029,96.86719999742027
124.0,10.0,5.9999999978072465,96.83359999780723
125.0,10.0,5.999999998136159,96.79999999813614
126.0,10.0,5.999999998415736,96.76639999841572
127.0,10.0,5.999999998653375,96.73279999865336
128.0,10.0,5.999999998855369,96.69919999885536
129.0,10.0,5.999999999027064,96.66559999902705
130.0,10.0,5.999999999173004,96.63199999917299
131.0,10.0,5.999999999297053,96.59839999929704
132.0,10.0,5.999999999402495,96.56479999940248
133.0,10.0,5.999999999492121,96.5311999994921
134.0,10.0,5.999999999568303,96.49759999956828
135.0,10.0,5.999999999633057,96.46399999963303
136.0,10.0,5.999999999688098,96.43039999968808
137.0,10.0,5.999999999734884,96.39679999973487
138.0,10.0,5.999999999774651,96.36319999977464
139.0,10.0,5.999999999808454,96.32959999980844
140.0,10.0,5.999999999837185,96.29599999983716
141.0,10.0,5.999999999861608,96.26239999986159
142.0,10.0,5.999999999882366,96.22879999988234
143.0,10.0,5.9999999999000115,96.19519999989998
