source,target,distance_m,weight
222,299,255862.2570528443,255.8622570528443
223,773,220407.87505158345,220.40787505158346
226,305,423972.98565055913,423.9729856505591
226,498,233657.09766870775,233.65709766870776
227,360,425283.3470200297,425.2833470200297
227,817,468870.8440490507,468.87084404905073
227,823,189249.7037310443,189.24970373104432
227,864,298933.3280854091,298.93332808540913
228,489,322176.89988403727,322.17689988403725
230,759,180978.06012255966,180.97806012255967
231,350,16275.645610333211,16.27564561033321
231,455,498674.7605521572,498.6747605521572
231,649,390540.05337767256,390.54005337767256
231,743,191083.04258384238,191.08304258384237
232,496,420794.56841811776,420.79456841811776
233,340,136051.51249054176,136.05151249054177
234,620,441990.59174849023,441.9905917484902
235,325,370394.7470786403,370.3947470786403
235,851,487769.533566791,487.769533566791
236,601,304144.7743668111,304.1447743668111
237,371,386446.29892781447,386.44629892781444
239,468,265684.7242706219,265.68472427062187
239,726,354370.9707770109,354.3709707770109
240,535,165333.00683866336,165.33300683866335
241,364,492134.75708170625,492.13475708170625
243,622,13161.95888153485,13.16195888153485
244,356,305936.23302657524,305.9362330265752
244,456,147337.8763468071,147.33787634680712
244,515,342495.83303813124,342.49583303813125
245,615,221253.64699687716,221.25364699687717
247,366,195323.94626815626,195.32394626815625
247,471,373427.5530849113,373.4275530849113
247,678,473030.37146838655,473.03037146838653
248,464,472978.403167675,472.978403167675
253,404,367686.5235933688,367.6865235933688
254,387,299900.160933855,299.900160933855
254,597,435912.0597710805,435.9120597710805
254,670,170199.6507077535,170.1996507077535
255,477,386584.1492186574,386.5841492186574
256,358,340394.78548186074,340.39478548186077
256,575,496086.4145861617,496.0864145861617
257,800,351132.95798458025,351.13295798458023
259,433,277971.7657272529,277.9717657272529
263,815,335919.4645435823,335.9194645435823
266,798,19127.784142097575,19.127784142097575
268,545,216008.87729527694,216.00887729527693
268,593,438966.19383838406,438.9661938383841
268,625,391324.6946955038,391.3246946955038
269,288,253027.07536716314,253.02707536716315
269,416,252344.55923056306,252.34455923056305
270,421,486050.9464023183,486.0509464023183
271,378,160816.81244609624,160.81681244609624
271,507,339083.07724299794,339.08307724299794
271,530,376839.3795601133,376.8393795601133
271,820,268804.8785132402,268.80487851324017
275,582,333639.1844773849,333.6391844773849
277,352,311539.2479189125,311.5392479189125
277,591,354600.12228468695,354.60012228468696
278,438,338564.0147798528,338.5640147798528
279,308,101319.06471954551,101.31906471954551
280,485,352376.0769473789,352.3760769473789
280,745,238535.1692349992,238.5351692349992
281,768,128610.00473477316,128.61000473477316
281,783,330500.39106629696,330.50039106629697
282,746,315506.1240456848,315.5061240456848
283,440,430117.7737455083,430.11777374550826
283,603,379089.4687307002,379.0894687307002
283,634,414502.8979648389,414.5028979648389
285,472,447835.79892571544,447.83579892571544
287,501,333043.60289677914,333.04360289677913
288,416,374744.54917302495,374.74454917302495
290,335,343306.2958060456,343.30629580604557
290,377,348881.81401031493,348.88181401031494
291,347,237260.10658379117,237.26010658379118
291,356,323706.63412186207,323.70663412186207
291,515,317440.6352704929,317.44063527049286
292,507,473517.1528399751,473.5171528399751
293,330,107419.11515807538,107.41911515807539
293,564,255614.09196532564,255.61409196532566
293,607,159488.57793474768,159.48857793474767
293,734,422542.0899761383,422.5420899761383
294,589,323560.00388503325,323.56000388503327
295,301,279935.2271068757,279.9352271068757
296,388,495119.7921653764,495.1197921653764
298,612,310518.31185941206,310.51831185941205
300,818,114669.7284518706,114.6697284518706
302,636,458443.8479959076,458.4438479959076
302,747,328097.886408893,328.097886408893
303,418,329455.7011180781,329.4557011180781
305,498,190572.9141871579,190.5729141871579
305,717,489009.4367036694,489.0094367036694
306,363,318248.2063288485,318.2482063288485
307,643,341992.0589768039,341.9920589768039
310,635,408521.4028667868,408.5214028667868
311,613,285507.7961807614,285.50779618076143
312,840,288426.9897706767,288.4269897706767
312,856,385255.71510592836,385.25571510592835
315,373,249143.89752200415,249.14389752200415
315,560,133941.71346166747,133.94171346166746
315,647,341189.91220642393,341.1899122064239
316,555,384623.5469874136,384.6235469874136
317,353,467826.87481110543,467.8268748111054
318,590,339168.94607733,339.16894607732996
318,790,133839.64323527715,133.83964323527715
320,685,397033.62780621357,397.0336278062136
321,630,258661.95832041127,258.66195832041126
322,732,286308.2344908319,286.3082344908319
324,488,275596.9235645747,275.5969235645747
325,851,326319.9494950654,326.3199494950654
326,533,433949.3309657352,433.9493309657352
327,695,103662.81710862287,103.66281710862287
327,749,479847.3249149463,479.8473249149463
328,691,248758.73957513683,248.75873957513684
328,713,334719.0266930664,334.7190266930664
329,537,276637.9825706476,276.63798257064764
330,564,152423.2844198903,152.42328441989028
330,607,244611.22169992732,244.6112216999273
330,734,432450.011998826,432.45001199882597
333,604,490645.9658817497,490.6459658817497
333,644,246375.25157269897,246.37525157269897
334,616,419998.77285853116,419.99877285853114
334,856,286365.1545622399,286.36515456223987
337,435,357116.3478700969,357.1163478700969
338,857,275528.2389125056,275.5282389125056
339,372,227045.25398340324,227.04525398340323
339,409,267639.11803226447,267.6391180322645
342,602,498324.82508829783,498.3248250882978
344,773,401372.1000285738,401.3721000285738
345,624,289254.3896854415,289.2543896854415
345,793,395015.5354503826,395.01553545038263
346,480,382009.32857014256,382.00932857014254
346,839,179849.11232624264,179.84911232624265
348,442,104860.35523338219,104.86035523338218
348,448,347873.34233510355,347.87334233510353
348,521,370280.1492245387,370.2801492245387
349,584,298534.77384416206,298.53477384416203
349,752,417663.19011646445,417.6631901164645
350,649,399775.49119454954,399.77549119454955
350,743,187397.64339032533,187.39764339032533
351,811,367626.68330134527,367.6266833013453
352,596,492035.9025870019,492.0359025870019
353,519,453207.048832248,453.207048832248
356,456,440807.4043753484,440.8074043753484
356,515,207290.1802768748,207.2901802768748
357,359,416981.4986474589,416.9814986474589
357,565,314624.5247554806,314.6245247554806
360,746,220555.48801879137,220.55548801879138
360,817,396689.2988289578,396.68929882895776
366,411,398493.7989339339,398.4937989339339
366,678,462452.5842347267,462.45258423472666
369,497,473547.37794509885,473.54737794509884
369,586,487263.32851236215,487.26332851236214
370,422,415886.7588757012,415.8867588757012
372,409,148963.76877397814,148.96376877397813
372,449,486248.4174719091,486.2484174719091
373,560,305515.0183569733,305.5150183569733
373,647,405627.5512746243,405.6275512746243
377,407,415278.94316852157,415.27894316852155
378,444,485200.1132219644,485.2001132219644
378,507,272987.0701255155,272.9870701255155
378,530,264166.1127854829,264.1661127854829
378,820,429472.2357128607,429.4722357128607
381,500,37054.4793218783,37.054479321878304
383,554,304476.66472572705,304.47666472572706
385,444,396018.75240152614,396.01875240152617
385,611,211478.66482113238,211.47866482113238
387,597,239529.3780872743,239.5293780872743
387,670,131740.8232431544,131.74082324315438
388,558,424921.2306276426,424.9212306276426
390,531,346983.4082985303,346.9834082985303
393,860,50404.31709480854,50.40431709480854
394,753,369779.7799069419,369.77977990694194
398,723,493978.9120783437,493.9789120783437
399,648,457570.86795758025,457.5708679575803
400,454,331474.0202679556,331.4740202679556
400,846,431254.9654070153,431.2549654070153
402,632,315022.7798276791,315.0227798276791
402,848,270373.27015081997,270.37327015081996
405,568,476418.7811619066,476.4187811619066
405,594,469446.6514631028,469.4466514631028
407,847,439826.8927383326,439.8268927383326
408,785,118347.10906011141,118.3471090601114
409,449,451881.3393548103,451.8813393548103
410,702,437668.27736011654,437.6682773601165
412,751,479619.64588961453,479.61964588961456
412,799,391830.1747083184,391.8301747083184
416,466,341682.4527231239,341.6824527231239
417,641,352725.39119620924,352.7253911962092
417,753,236765.63968613575,236.76563968613576
419,619,148616.29804082995,148.61629804082995
419,766,452138.34348742064,452.1383434874206
423,474,452684.9143378013,452.6849143378013
423,570,282996.84958041884,282.9968495804188
424,628,437724.4908979915,437.72449089799153
429,604,292741.2296185042,292.7412296185042
429,809,197163.99088920082,197.16399088920082
430,801,318484.74727395986,318.48474727395984
431,558,363548.2214190898,363.5482214190898
432,803,356378.2949097864,356.37829490978635
434,439,101401.05674726673,101.40105674726674
434,672,359608.1878765086,359.60818787650857
439,672,369474.62523794617,369.47462523794616
440,603,98641.29740020163,98.64129740020162
441,499,257910.14023446513,257.91014023446513
441,581,365407.41085987684,365.40741085987685
441,675,161506.21047875186,161.50621047875185
442,448,247229.79822540042,247.22979822540043
442,521,466141.12571440137,466.14112571440137
443,657,314225.11828955775,314.22511828955777
443,837,462351.47021279676,462.35147021279676
444,530,222405.387319892,222.40538731989201
444,611,412676.943948538,412.676943948538
445,789,164385.61728925945,164.38561728925944
449,476,388378.3749252202,388.3783749252202
453,473,375134.5567574513,375.1345567574513
454,655,296505.1671420008,296.5051671420008
454,846,470187.4354941432,470.18743549414324
455,743,378903.93006499537,378.9039300649954
456,515,425172.37810209463,425.1723781020946
457,490,331014.2976636328,331.01429766363276
462,742,166852.2350732238,166.8522350732238
464,508,475862.3279799963,475.8623279799963
464,540,420363.3921108675,420.3633921108675
469,575,248162.87606806692,248.16287606806694
470,563,166272.04894349352,166.2720489434935
472,610,213125.2748491671,213.12527484916708
472,701,349536.0122064608,349.53601220646084
474,570,180323.25617608646,180.32325617608646
475,518,189363.45800467572,189.36345800467572
475,532,174140.06556567075,174.14006556567077
475,661,429605.1138973217,429.6051138973217
476,704,416255.27793216956,416.2552779321696
480,839,202438.55419964867,202.43855419964868
481,609,309228.0795506566,309.2280795506566
482,626,295150.8072495726,295.1508072495726
482,788,305793.05772738677,305.7930577273868
482,829,95921.2473364065,95.9212473364065
483,559,82785.12394429484,82.78512394429484
485,745,241000.8891108822,241.0008891108822
486,514,175600.59880886434,175.60059880886433
487,492,246653.11896590897,246.65311896590896
487,669,343897.6147223219,343.8976147223219
492,669,306195.8235366817,306.1958235366817
493,668,77663.37459429103,77.66337459429103
494,605,329402.53059555095,329.40253059555096
495,734,392210.11089517287,392.2101108951729
497,586,94048.95814855563,94.04895814855563
499,675,350126.0084939659,350.1260084939659
504,709,317660.07680916355,317.66007680916357
505,833,337693.09407072223,337.6930940707222
506,671,414670.2017954682,414.67020179546824
506,813,311180.9487244199,311.1809487244199
506,825,277220.45614309533,277.2204561430953
508,540,267907.94379352033,267.9079437935203
510,541,499042.5426688317,499.0425426688317
510,544,128678.35494419331,128.6783549441933
512,796,25432.953664748387,25.43295366474839
513,529,286593.00627422857,286.59300627422857
516,639,138717.98268531213,138.71798268531214
517,523,411679.40985798603,411.679409857986
518,532,336210.6434935724,336.21064349357243
518,661,364867.7216310187,364.8677216310187
519,760,431761.461480061,431.761461480061
519,844,104585.95047848097,104.58595047848097
520,662,473062.64957282314,473.06264957282315
520,786,475818.5999424594,475.8185999424594
523,679,394755.88066634105,394.75588066634106
537,637,390938.8741123711,390.93887411237114
539,750,445571.66268322564,445.57166268322567
542,663,262078.17033798137,262.07817033798136
545,593,414060.11153348006,414.06011153348004
546,676,104207.78191644113,104.20778191644114
552,781,252598.4206908968,252.5984206908968
555,736,402512.6632556407,402.5126632556407
556,718,390632.59278793214,390.63259278793214
558,828,476469.4533563729,476.46945335637287
560,647,474445.89481450705,474.445894814507
562,790,491233.72994574026,491.23372994574027
564,607,396109.7973976849,396.1097973976849
568,594,283965.4166010813,283.9654166010813
569,819,362905.5803164213,362.90558031642126
574,814,386507.18836919736,386.50718836919737
578,848,428472.66544054536,428.47266544054537
579,708,133159.56974874745,133.15956974874746
581,675,231902.5648554005,231.9025648554005
582,699,411975.17881615274,411.9751788161527
584,591,276125.4754022382,276.1254754022382
584,752,342789.90711250657,342.78990711250657
590,790,310801.7367094865,310.80173670948653
592,598,443388.58316525875,443.38858316525875
592,721,243998.68844374912,243.99868844374913
