year,annual_cost_BUSD,cumulative_cost_BUSD,staff_cost_BUSD,energy_cost_BUSD,maintenance_cost_BUSD,replacement_cost_BUSD
66,1399916.6540371252,52454255.26934686,1.2784608553256216,1399914.6365815557,0.7389947140610529,0.0
67,1427914.9871178675,53882170.25646473,1.304030072432134,1427912.9293131868,0.753774608342274,0.0
68,1456473.286860225,55338643.543324955,1.3301106738807769,1456471.1878994505,0.7688501005091195,0.0
69,1485602.7525974298,56824246.29592238,1.3567128873583925,1485600.6116574397,0.7842271025193019,0.0
70,1515514.7855605206,58339761.0814829,1.3838471451055603,1515312.6238905885,0.799911644569688,199.977911142422
71,1545621.1038023657,59885382.18528527,1.4115240880076716,1545618.8763684002,0.8159098774610819,0.0
72,1576533.5258784133,61461915.711163685,1.4397545697678251,1576531.2538957684,0.8322280750103035,0.0
73,1608064.1963959814,63069979.90755967,1.4685496611631812,1608061.8789736836,0.8488726365105095,0.0
74,1640225.4803239012,64710205.387883574,1.497920654386445,1640223.1165531576,0.8658500892407197,0.0
75,1673471.5734758917,66383676.96135946,1.5278790674741738,1673027.5788842204,0.883167091025534,441.58354551276705
76,1706490.5897289866,68090167.55108845,1.5584366488236572,1706488.1304619047,0.9008304328460447,0.0
77,1740620.4015235666,69830787.95261201,1.5896053818001308,1740617.8930711432,0.9188470415029657,0.0
78,1775432.8095540376,71606220.76216605,1.6213974894361334,1775430.250932566,0.9372239823330251,0.0
79,1810941.4657451187,73417162.22791117,1.6538254392248561,1810938.8559512175,0.9559684619796857,0.0
80,1847647.8389756305,75264810.0668868,1.6869019480093532,1847157.6330702417,0.9750878312192793,487.54391560963967
81,1884103.5009612215,77148913.56784801,1.7206399869695403,1884100.7857316467,0.994589587843665,0.0
82,1921785.5709804457,79070699.13882847,1.755052786708931,1921782.8014462795,1.014481379600538,0.0
83,1960221.282400055,81030920.42122851,1.79015384244311,1960218.4574752052,1.034771007192549,0.0
84,1999425.7080480563,83030346.12927657,1.8259569192919722,1999422.8266247094,1.0554664273364,0.0
85,2039414.2222090173,85069760.3514856,1.8624760576778117,2039411.2831572038,1.0765757558831281,0.0
86,2080202.5066531976,87149962.8581388,1.8997255788313678,2080199.5088203477,1.0981072710007906,0.0
87,2121806.5567862615,89271769.41492505,1.9377200904079952,2121803.4989967546,1.1200694164208065,0.0
88,2164242.687921987,91436012.10284704,1.976474492216155,2164239.5689766896,1.1424708047492225,0.0
89,2207527.541680427,93643539.64452747,2.0160039820604783,2207524.360356224,1.165320220844207,0.0
90,2252569.562482981,95896109.20701045,2.056324061701688,2251674.8475633482,1.1886266252610913,891.4699689458184
91,2296711.6543643153,98192820.86137477,2.0974505429357215,2296708.344514615,1.2123991577663131,0.0
92,2342645.887451602,100535466.74882637,2.139399553794436,2342642.5114049073,1.2366471409216393,0.0
93,2389498.805200634,102924965.554027,2.1821875448703247,2389495.3616330056,1.261380083740072,0.0
94,2437288.7813046463,105362254.33533165,2.225831295767731,2437285.2688656654,1.2866076854148736,0.0
95,2486034.5569307404,107848288.89226238,2.270347921683086,2486030.9742429797,1.312339839123171,0.0
96,2535755.248069355,110384044.14033175,2.315754880116748,2535751.593727839,1.3385866359056346,0.0
97,2586470.3530307426,112970514.49336249,2.362069977719083,2586466.625602396,1.3653583686237474,0.0
98,2638199.760091357,115608714.25345384,2.4093113772734642,2638195.9581144433,1.3926655359962223,0.0
99,2690963.755293184,118299678.00874703,2.4574976048189336,2690959.8772767326,1.4205188467161467,0.0
